Timestamp,HR: (Beats per minute), RR: (ms)
369315,78.74,762
372957,89.82,668
373573,90.20,655
374189,93.30,643
374805,93.90,629
375344,94.90,618
375960,96.20,604
376576,96.80,581
377115,99.30,571
377731,101.30,567
378193,102.20,576
378886,101.10,610
379502,101.20,675
380272,101.30,771
380965,101.30,757
381735,101.30,710
382351,101.30,743
383275,101.30,786
384045,101.30,819
384815,99.00,788
