716;-373;-543
716;-373;-543
134;-291;-70
17;-23;-6
10;-44;-7
5;-27;-9
5;-27;-9
3;-18;-6
6;-18;-3
9;-18;-4
9;-26;-7
5;-35;-9
5;-35;-9
1;-21;-12
-5;-22;-14
-8;-33;-10
-4;-34;-7
-4;-34;-7
2;-24;-10
-13;-66;-18
-7;-66;-7
34;2;6
31;-80;5
31;-80;5
28;-64;-3
37;-54;-7
67;-75;-6
77;-66;2
77;-66;2
66;-43;5
39;-56;3
13;-57;1
2;-41;1
2;-41;1
1;-41;2
3;-56;2
6;-56;0
10;-50;-2
11;-46;-5
11;-46;-5
-1;-39;-10
5;-18;-10
3;-49;-8
6;-21;-5
6;-21;-5
2;-37;1
-1;-34;3
-4;-27;1
-6;-25;-1
-4;-21;1
-4;-21;1
0;-17;4
3;-20;5
5;-29;5
2;-30;3
2;-30;3
3;-29;4
4;-35;6
3;-34;7
-2;-38;1
-19;-39;-3
-19;-39;-3
6;12;6
28;10;5
5;-52;-5
-14;-18;-6
-14;-18;-6
-5;-2;1
14;-27;6
26;-27;7
23;-23;3
23;-23;3
12;-43;1
9;-32;2
6;-28;6
6;-24;8
6;-16;7
6;-16;7
6;-12;4
12;-4;2
9;-3;0
9;25;0
9;25;0
10;4;1
11;20;1
4;13;4
-4;8;6
-5;32;6
-5;32;6
-4;36;4
3;43;3
9;40;3
12;31;4
12;31;4
13;25;4
9;19;3
4;25;2
-1;31;2
-2;26;3
-2;26;3
0;17;5
5;17;4
7;13;2
-5;-20;-2
-5;-20;-2
22;6;2
46;38;2
7;-44;-2
-12;-11;-5
-12;-11;-5
-3;-13;1
25;-44;8
32;-40;8
33;-21;7
25;-40;7
25;-40;7
19;-53;9
21;-45;6
13;-61;3
5;-62;5
5;-62;5
0;-40;7
4;-23;6
1;-38;3
10;-9;2
10;-36;1
10;-36;1
9;-22;1
1;-21;6
-7;-20;10
-7;-6;9
-7;-6;9
-2;-20;7
2;-26;6
4;-23;6
4;-13;7
5;-7;6
5;-7;6
5;-10;6
1;-8;6
-1;0;6
1;-5;5
1;-5;5
3;-9;4
6;-10;4
0;-20;-1
-12;-13;1
-12;-13;1
11;23;8
23;11;6
-7;-28;-6
-23;-2;-1
8;-11;5
8;-11;5
27;-35;6
23;-4;5
17;-13;7
5;-48;8
5;-48;8
0;-37;8
2;-28;6
5;-24;2
9;-29;0
6;-27;-2
6;-27;-2
-2;-34;-4
-5;-27;-4
3;-29;-4
5;-54;-2
5;-54;-2
2;-32;0
-5;-41;2
-6;-31;2
-1;-30;1
0;-35;0
0;-35;0
-1;-35;1
-4;-31;2
-2;-27;3
2;-32;0
2;-32;0
3;-34;0
5;-41;1
6;-52;2
5;-49;2
5;-49;2
4;-48;0
-9;-59;-5
-4;-32;0
18;16;4
11;-46;-4
11;-46;-4
-14;-29;-11
-7;-15;-2
15;-34;5
18;-47;7
18;-47;7
17;-4;6
13;-24;8
2;-53;8
0;-43;10
3;-42;9
3;-42;9
4;-44;6
2;-36;4
-3;-17;3
-6;-18;2
-6;-18;2
-5;-8;1
3;-29;0
5;-51;-1
7;-26;0
7;-26;0
-1;-34;3
-7;-24;2
-7;-25;1
-7;-35;2
-4;-32;3
-4;-32;3
-2;-35;3
-1;-48;2
1;-58;1
-1;-55;1
-1;-55;1
-3;-40;2
-2;-37;2
2;-33;3
5;-34;0
-9;-47;-4
-9;-47;-4
3;-21;3
25;19;6
6;-42;-2
-13;-23;-2
-13;-23;-2
-4;-15;6
20;-39;11
25;-43;10
19;-11;5
9;-32;2
9;-32;2
0;-43;3
-2;-39;6
-1;-45;7
5;-48;6
5;-48;6
6;-51;3
6;-32;0
4;-34;-2
2;-16;-3
2;-16;-3
6;-31;-2
6;-44;1
7;-27;3
-1;-50;4
-7;-44;3
-7;-44;3
-9;-39;2
-5;-43;2
1;-33;3
5;-24;3
5;-24;3
5;-20;3
4;-24;3
4;-32;4
3;-31;2
1;-27;3
1;-27;3
1;-32;3
4;-24;2
3;-24;0
-14;-39;-4
-14;-39;-4
1;-9;5
27;16;9
9;-43;1
-12;-21;-3
-12;-10;2
-9;-10;2
11;-31;9
22;-36;11
17;-14;5
5;-33;3
5;-33;3
-1;-39;5
2;-31;8
9;-31;9
12;-28;6
12;-28;6
11;-17;1
8;-4;-2
5;-10;-3
4;19;-2
8;4;1
8;4;1
10;9;2
9;23;2
-2;-4;3
-7;14;3
-7;14;3
-6;22;4
0;20;5
5;27;3
8;31;3
8;27;3
8;27;3
8;24;3
7;22;3
5;23;1
5;34;1
5;34;1
4;27;2
4;19;3
7;26;3
-5;12;-1
-5;12;-1
-11;22;3
20;106;8
16;41;5
-9;11;-3
-14;42;-2
-14;42;-2
11;39;7
23;34;12
22;53;10
19;38;8
19;38;8
8;15;7
4;25;9
4;21;10
7;17;8
7;16;4
7;16;4
5;27;2
4;30;0
0;24;-2
2;17;1
2;17;1
0;-4;2
2;28;4
-4;-7;7
-2;11;6
1;15;5
1;15;5
6;10;5
11;15;5
10;4;5
12;1;4
12;1;4
10;-3;4
7;-4;4
-2;-10;7
-10;-17;14
-10;-17;14
-13;-30;32
-20;-34;40
-43;-35;38
-66;-33;38
-39;0;61
-39;0;61
16;-1;75
22;-123;41
12;-112;4
28;-58;2
28;-58;2
57;-70;8
58;-78;9
47;-42;2
28;-55;-5
13;-59;-8
13;-59;-8
7;-42;-10
9;-30;-12
9;-22;-15
5;-26;-14
5;-26;-14
1;-32;-13
-2;-62;-14
10;-46;-13
16;-83;-8
3;-75;-3
3;-75;-3
-7;-43;1
-16;-51;2
-19;-53;4
-24;-59;8
-24;-59;8
-33;-48;10
-47;-32;5
-57;-34;-1
-61;-41;-1
-61;-41;-1
-55;-48;4
-39;-57;7
-15;-63;11
7;-71;16
20;-67;19
20;-67;19
15;-61;17
-13;-72;19
-11;-7;26
-1;10;23
-1;10;23
-19;-50;11
-37;-19;5
-26;-22;8
-7;-44;9
5;-49;9
