Timestamp,Count
53118,0
53126,0
53134,-1
53141,-2
53149,-3
53157,-4
53165,-9
53173,-8
53181,-10
53188,-14
53196,-8
53204,-24
53212,-10
53220,-3
53227,-85
53235,-36
53243,121
53251,-3
53259,-448
53266,-775
53274,-593
53282,-104
53290,167
53298,67
53306,-68
53313,-12
53321,12
53329,-32
53337,-20
53345,-26
53352,-65
53360,-52
53368,55
53376,-28
53384,-603
53391,-884
53399,324
53407,2472
53415,3396
53423,1942
53431,-531
53438,-1885
53446,-1706
53454,-1133
53462,-898
53470,-767
53477,-563
53485,-411
53493,-306
53501,-226
53509,-178
53516,-144
53524,-128
53532,-119
53540,-117
53548,-113
53556,-110
53563,-116
53571,-124
53579,-123
53587,-111
53595,-76
53602,-35
53610,11
53618,56
53626,97
53634,140
53641,163
53649,151
53657,107
53665,54
53673,9
53681,-19
53688,-39
53696,-52
53704,-58
53712,-59
53720,-59
53727,-59
53735,-62
53743,-68
53751,-71
53759,-69
53766,-69
53774,-65
53782,-61
53790,-58
53798,-54
53806,-47
53813,-39
53821,-37
53829,-39
53837,-42
53845,-42
53852,-40
53860,-42
53868,-47
53876,-47
53884,-51
53891,-50
53899,-56
53907,-57
53915,-60
53923,-55
53931,-52
53938,-50
53946,-63
53954,-77
53962,-94
53970,-96
53977,-85
53985,-63
53993,-40
54001,-27
54009,-26
54016,-24
54024,-27
54032,-30
54040,-36
54048,-32
54056,-44
54063,-75
54071,-58
54079,48
54087,-84
54095,-681
54102,-857
54110,524
54118,2694
54126,3433
54134,1760
54141,-747
54149,-1983
54157,-1711
54165,-1135
54173,-908
54181,-761
54188,-545
54196,-401
54204,-306
54212,-228
54220,-180
54227,-147
54235,-130
54243,-121
54251,-117
54259,-120
54266,-119
54274,-118
54282,-119
54290,-119
54298,-110
54306,-84
54313,-42
54321,7
54329,49
54337,90
54345,130
54352,154
54360,149
54368,112
54376,54
54384,4
54391,-26
54399,-48
54407,-62
54415,-66
54423,-64
54431,-60
54438,-59
54446,-65
54454,-68
54462,-69
54470,-67
54477,-65
54485,-64
54493,-61
54501,-60
54509,-56
54516,-53
54524,-48
54532,-45
54540,-46
54548,-47
54556,-47
